Año,Dia,Estado,Fecha,Fecha de corte,Mes,Motivo,Número de registros (agrupación),Orden de trabajo generada,Responsable,Situación reportada,Tipo de servicio,Demora en respuesta,Latitud,Longitud,Número,Número de registros
2021,martes,Cancelado,12/01/2021 11:15,12/01/2021 11:49,enero,Recolección de residuos inertes (escombros / poda / montículos),1,NO,MODERADORES,Otra situación no contemplada,Otros servicios no contemplados,0,-3.689.595,-6.030.312,10309,
2021,martes,Finalizado,12/01/2021 12:41,15/01/2021 13:11,enero,Estacionamiento: vehículos estacionados en lugar no permitido,1,NO,GUSTAVO SPALTRO,Estacionamiento: vehículos estacionados en lugar no permitido,Tránsito,3,-36.885.395,-60.331.577,10310,
2021,miércoles,Finalizado,13/01/2021 07:49,18/01/2021 09:09,enero,Recolección de residuos domiliciarios: no hay recolección,1,SI,EMANUEL LAPORTILLA,Recolección de residuos domiliciarios: no hay recolección,Higiene y control urbano - Dir. de Contralor de Servicio,5,-36.888.443,-60.325.714,10311,
2021,miércoles,Finalizado,13/01/2021 10:07,10/02/2021 10:29,enero,En estado o inclinación peligrosa: postes (Telefonica),1,NO,ADRIAN GUEVARA,En estado o inclinación peligrosa: postes (Telefonica),Higiene y control urbano - Defensa Civil,28,-36.903.954,-6.031.485,10312,
2021,miercoles,En proceso de resolución de revisión,13/01/2021 12:52,13/05/2021 12:52,enero,Higiene y control urbano,1,NO,AXEL PORCEL,Malezas o basura acumulada: en espacio privado (baldío abierto),Higiene y control urbano - Dir. de Catastro,120,-36.882.679,-6.030.304,10313,
2021,jueves,Finalizado,14/01/2021 09:24,10/12/2021 17:16,enero,En estado o inclinación peligrosa: árboles,1,NO,ADRIAN GUEVARA,En estado o inclinación peligrosa: árboles,Higiene y control urbano - Defensa Civil,330,-36.888.756,-60.300.388,10314,
2021,jueves,Finalizado,14/01/2021 09:41,08/03/2021 08:44,enero,Derrames en vía pública,1,NO,ADRIAN GUEVARA,Derrames en vía pública,Higiene y control urbano - Defensa Civil,53,-36.897.507,-60.323.467,10315,
2021,jueves,Finalizado,14/01/2021 09:56,02/02/2022 11:50,enero,Césped: con falta de mantenimiento o riego,1,SI,JULIO FERRARO,Césped: con falta de mantenimiento o riego,"Parques, plazas y espacios públicos - Dirección de Espacios Verdes",384,-36.876.938,-60.327.152,10316,
2021,jueves,En proceso de resolución de revisión,14/01/2021 10:38,13/02/2021 10:38,enero,Vialidad,1,NO,GUSTAVO SPALTRO,Reductor de velocidad: solicitar nuevo,Vialidad - Dir. de Control Urbano,30,-36.904.243,-60.306.599,10317,
2021,jueves,Finalizado,14/01/2021 12:06,05/02/2021 10:09,enero,Recolección de residuos domiliciarios: no hay recolección,1,SI,EMANUEL LAPORTILLA,Recolección de residuos domiliciarios: no hay recolección,Higiene y control urbano - Dir. de Contralor de Servicio,22,-36.919.464,-60.298.653,10318,
2021,jueves,Cancelado,14/01/2021 18:48,15/01/2021 09:20,enero,Otra situación no contemplada,1,NO,MODERADORES,Otra situación no contemplada,Atención del personal municipal,1,-36.880.177,-60.319.309,10319,
2021,viernes,Finalizado,15/01/2021 09:34,15/01/2021 10:01,enero,Plantas: caídas o con inclinación peligrosa,1,SI,FEDERICO VIDAL,Plantas: caídas o con inclinación peligrosa,"Parques, plazas y espacios públicos - Dirección de Espacios Verdes",0,-36.920.082,-60.295.204,10320,
2021,viernes,Finalizado,15/01/2021 09:59,08/03/2021 08:49,enero,En estado o inclinación peligrosa: árboles,1,NO,ADRIAN GUEVARA,En estado o inclinación peligrosa: árboles,Higiene y control urbano - Defensa Civil,52,-36.920.082,-60.295.204,10321,
2021,viernes,Finalizado,15/01/2021 11:07,15/01/2021 12:54,enero,Estacionamiento: vehículos abandonados,1,NO,GUSTAVO SPALTRO,Estacionamiento: vehículos abandonados,Tránsito,0,-36.875.214,-60.323.231,10322,
2021,viernes,Finalizado,15/01/2021 12:52,17/02/2021 12:10,enero,Barrido domiciliario: no hay barrido,1,SI,EMANUEL LAPORTILLA,Barrido domiciliario: no hay barrido,Higiene y control urbano - Dir. de Contralor de Servicio,33,-36.902.542,-60.318.253,10323,
2021,lunes,En proceso de resolución de revisión,18/01/2021 08:53,02/02/2021 08:53,enero,Obras públicas,1,NO,IVAN ROBBIANI,Calles urbanas: Pedido de camión regador,Obras públicas - Dir. de Mantenimiento Urbano,15,-3.684.985,-60.297.218,10324,
2021,lunes,Finalizado,18/01/2021 09:16,24/01/2022 12:01,enero,Animales domésticos: sueltos en la via pública,1,SI,SOFIA MARTINEZ,Animales domésticos: sueltos en la via pública,Veterinaria - Dir. de Bromatologia,371,-36.875.607,-60.324.657,10325,
2021,lunes,Finalizado,18/01/2021 10:49,28/01/2022 10:45,enero,Falta de habilitación,1,SI,MARÍA CELIA ALEM,Falta de habilitación,Habilitaciones - Dir. de Habilitaciones,375,-36.888.432,-60.279.121,10326,
2021,lunes,Cancelado,18/01/2021 11:39,18/01/2021 12:06,enero,No tengo claro el servicio destino de mi situación,1,NO,MODERADORES,No tengo claro el servicio destino de mi situación,Otros servicios no contemplados,0,-3.690.406,-6.033.527,10327,
2021,lunes,Finalizado,19/01/2021 08:59,19/01/2021 15:17,febrero,Veredas y caminos: rotos o en mal estado,1,NO,FEDERICO VIDAL,Veredas y caminos: rotos o en mal estado,"Parques, plazas y espacios públicos - Dir. de Desarrollo Urbano",0,-36.914.593,-60.283.295,10328,
2021,martes,En proceso de resolución de revisión,19/01/2021 10:05,19/05/2021 10:05,enero,Zoonosis,1,SI,ANDRES CASTRO,Control de plagas / roedores,Zoonosis - Dir. de Bromatologia,120,-36.887.783,-6.032.486,10329,
2021,martes,Finalizado,19/01/2021 10:20,19/01/2021 10:20,enero,Derrames en vía pública,1,NO,ADRIAN GUEVARA,Derrames en vía pública,Higiene y control urbano - Defensa Civil,0,-36.898.251,-60.346.504,10330,
2021,martes,Finalizado,19/01/2021 10:26,19/01/2021 10:26,enero,En estado o inclinación peligrosa: árboles,1,NO,ADRIAN GUEVARA,En estado o inclinación peligrosa: árboles,Higiene y control urbano - Defensa Civil,0,-36.920.963,-60.324.032,10331,
2021,martes,Finalizado,19/01/2021 10:30,19/01/2021 10:31,enero,En estado o inclinación peligrosa: postes (Telefonica),1,NO,ADRIAN GUEVARA,En estado o inclinación peligrosa: postes (Telefonica),Higiene y control urbano - Defensa Civil,0,-36.925.251,-60.318.897,10332,
2021,martes,En proceso de resolución de revisión,19/01/2021 11:11,19/05/2021 11:11,enero,Higiene y control urbano,1,NO,AXEL PORCEL,Malezas o basura acumulada: en espacio público (veredas de terrenos cerrados),Higiene y control urbano - Dir. de Catastro,120,-36.908.829,-60.328.022,10333,
2021,martes,En proceso de resolución de revisión,19/01/2021 11:55,19/05/2021 11:55,enero,Zoonosis,1,SI,ANDRES CASTRO,Control de plagas / roedores,Zoonosis - Dir. de Bromatologia,120,-36.887.489,-60.324.493,10334,
2021,martes,En proceso de resolución de revisión,19/01/2021 12:00,19/05/2021 12:00,enero,Higiene y control urbano,1,NO,AXEL PORCEL,Malezas o basura acumulada: en espacio privado (casa abandonada),Higiene y control urbano - Dir. de Catastro,120,-36.887.566,-6.032.478,10335,
2021,martes,Finalizado,19/01/2021 18:30,10/03/2021 10:09,enero,Recolección de residuos domiliciarios: no hay recolección,1,SI,EMANUEL LAPORTILLA,Recolección de residuos domiliciarios: no hay recolección,Higiene y control urbano - Dir. de Contralor de Servicio,50,-36.940.968,-60.274.441,10336,
2021,martes,Finalizado,19/01/2021 23:00,23/02/2021 10:55,enero,Malezas o basura acumulada: en espacio público (veredas),1,NO,AXEL PORCEL,Malezas o basura acumulada: en espacio público (veredas),Higiene y control urbano - Dir. de Control Urbano,34,-36.894.588,-60.339.878,10337,
2021,miércoles,Finalizado,20/01/2021 10:29,05/07/2021 08:11,enero,Cloacas: rotura de caño,1,SI,EMANUEL LAPORTILLA,Cloacas: rotura de caño,Obras públicas - Dir. de Contralor de Servicios,166,-36.891.113,-6.031.068,10338,
2021,miercoles,En proceso de resolución de revisión,20/01/2021 11:21,04/02/2021 11:21,enero,Obras públicas,1,NO,FABIAN RUBARE,Iluminación: lámpara sin funcionamiento o deficiente,Obras públicas - Dir. de Desarrollo Urbano,15,-36.890.102,-60.335.403,10339,
2021,miércoles,Cancelado,20/01/2021 11:42,20/01/2021 12:57,enero,Recolección de residuos inertes (escombros / poda / montículos),1,SI,MODERADORES,Recolección de residuos inertes (escombros / poda / montículos),Higiene y control urbano,0,-36.881.065,-60.329.861,10340,
2021,miércoles,Finalizado,20/01/2021 12:48,20/01/2021 13:00,enero,Plantas: daños o vandalismo,1,SI,ANA GEOGHEGAN,Plantas: daños o vandalismo,"Parques, plazas y espacios públicos - Dirección de Espacios Verdes",0,-36.918.926,-60.303.326,10341,
2021,miércoles,En proceso de resolución de revisión,20/01/2021 13:26,04/02/2021 13:26,enero,Obras públicas,1,NO,IVAN ROBBIANI,Calles urbanas: Pedido de camión regador,Obras públicas - Dir. de Mantenimiento Urbano,15,-36.924.477,-60.297.333,10342,
2021,miércoles,Cancelado,20/01/2021 13:37,20/01/2021 20:24,enero,Recolección de residuos inertes (escombros / poda / montículos),1,SI,EMMANUEL LAPORTILLA,Recolección de residuos inertes (escombros / poda / montículos),Higiene y control urbano,0,-36.897.308,-60.320.091,10343,
2021,miércoles,Finalizado,20/01/2021 13:53,24/01/2022 12:01,enero,Animales domésticos: sueltos en la via pública,1,SI,SOFIA MARTINEZ,Animales domésticos: sueltos en la via pública,Veterinaria - Dir. de Bromatologia,369,-36.912.285,-603.255,10344,
2021,jueves,Finalizado,21/01/2021 08:30,10/03/2021 10:11,enero,Barrido domiciliario: no hay barrido,1,SI,EMANUEL LAPORTILLA,Barrido domiciliario: no hay barrido,Higiene y control urbano - Dir. de Contralor de Servicio,48,-36.898.388,-60.306.877,10345,
2021,jueves,Finalizado,21/01/2021 09:35,24/02/2021 12:47,enero,Malezas o basura acumulada: en espacio privado (baldío abierto),1,NO,AXEL PORCEL,Malezas o basura acumulada: en espacio privado (baldío abierto),Higiene y control urbano - Dir. de Catastro,34,-36.883.564,-60.303.726,10346,
2021,jueves,En proceso de resolución de revisión,21/01/2021 09:53,21/05/2021 09:53,enero,Higiene y control urbano,1,NO,AXEL PORCEL,Malezas o basura acumulada: en espacio privado (baldío abierto),Higiene y control urbano - Dir. de Catastro,120,-36.896.351,-60.344.597,10347,
2021,jueves,En proceso de resolución de revisión,21/01/2021 10:23,21/05/2021 10:23,enero,Higiene y control urbano,1,NO,AXEL PORCEL,Malezas o basura acumulada: en espacio privado (baldío abierto),Higiene y control urbano - Dir. de Catastro,120,-36.922.039,-60.306.293,10348,
2021,jueves,Finalizado,21/01/2021 11:47,02/08/2021 08:15,enero,Reductor de velocidad: solicitar nuevo,1,SI,JULIO FERRARO,Reductor de velocidad: solicitar nuevo,Vialidad - Dir. de Control Urbano,193,-36.922.867,-60.300.255,10349,
2021,jueves,Finalizado,21/01/2021 12:06,02/02/2022 11:50,enero,Césped: con falta de mantenimiento o riego,1,SI,JULIO FERRARO,Césped: con falta de mantenimiento o riego,"Parques, plazas y espacios públicos - Dirección de Espacios Verdes",377,-36.885.895,-60.300.491,10350,
2021,jueves,En proceso de resolución de revisión,21/01/2021 13:15,07/03/2021 13:15,enero,Obras públicas,1,NO,IVAN ROBBIANI,Calles urbanas: calzada de tierra con baches,Obras públicas - Dir. de Mantenimiento Urbano,45,-36.919.868,-60.315.247,10351,
2021,miercoles,En proceso de resolución de revisión,21/01/2021 13:21,20/02/2021 13:21,enero,Obras públicas,1,SI,EMANUEL LAPORTILLA,Cloacas: reclamo por obra sin terminar,Obras públicas - Dir. de Contralor de Servicios,30,-36.910.011,-60.319.138,10352,
2021,jueves,Finalizado,21/01/2021 13:40,01/02/2021 08:49,enero,Estacionamiento: vehículos estacionados en lugar no permitido,1,NO,GUSTAVO SPALTRO,Estacionamiento: vehículos estacionados en lugar no permitido,Tránsito,11,-36.930.473,-60.164.352,10353,
2021,viernes,Finalizado,22/01/2021 09:51,22/01/2021 12:51,enero,Estacionamiento: vehículos abandonados,1,NO,GUSTAVO SPALTRO,Estacionamiento: vehículos abandonados,Tránsito,0,-3.689.135,-60.324.039,10354,
2021,viernes,En proceso de resolución de revisión,22/01/2021 10:24,22/05/2021 10:24,enero,Higiene y control urbano,1,NO,AXEL PORCEL,Malezas o basura acumulada: en espacio privado (baldío abierto),Higiene y control urbano - Dir. de Catastro,120,-3.689.328,-60.287.624,10355,
2021,viernes,Finalizado,22/01/2021 10:40,09/08/2021 12:07,enero,Calidad de alimentos: venta de alimentos con fecha caducada,1,SI,SOFIA MARTINEZ,Calidad de alimentos: venta de alimentos con fecha caducada,Habilitaciones - Dir. de Bromatologia,199,-36.892.345,-60.320.293,10356,
2021,viernes,Finalizado,22/01/2021 11:49,09/11/2021 12:01,enero,Espacios verdes,1,SI,CÉSAR BOURNOT,Espacios verdes,Delegaciones,291,-3.686.607,-60.170.017,10357,
2021,viernes,Finalizado,22/01/2021 12:26,19/03/2021 12:31,enero,Ruidos molestos: en domicilio particular,1,SI,GUSTAVO SPALTRO,Ruidos molestos: en domicilio particular,Control ambiental - Dir. de Control Urbano,56,-36.925.961,-60.315.475,10358,
2021,viernes,En proceso de resolución de revisión,22/01/2021 12:56,22/05/2021 12:56,enero,Higiene y control urbano,1,NO,AXEL PORCEL,Malezas o basura acumulada: en espacio público (veredas de terrenos cerrados),Higiene y control urbano - Dir. de Catastro,120,-36.908.546,-6.031.469,10359,
2021,sábado,Cancelado,23/01/2021 10:21,25/01/2021 11:18,enero,Animales domésticos: sanitariamente descuidados,1,SI,SOFIA MARTINEZ,Animales domésticos: sanitariamente descuidados,Zoonosis,2,-36.909.435,-60.328.102,10360,
2021,sábado,Cancelado,23/01/2021 10:25,25/01/2021 11:19,enero,Recolección de residuos inertes (escombros / poda / montículos),1,NO,MODERADORES,Otra situación no contemplada,Otros servicios no contemplados,2,-36.909.435,-60.328.102,10361,
2021,lunes,Finalizado,25/01/2021 08:31,01/02/2021 08:01,enero,Recolección de residuos domiliciarios: no hay recolección,1,SI,EMANUEL LAPORTILLA,Recolección de residuos domiliciarios: no hay recolección,Higiene y control urbano - Dir. de Contralor de Servicio,7,-36.885.963,-6.032.235,10362,
2021,lunes,Finalizado,25/01/2021 08:40,05/07/2021 08:12,enero,Agua: rotura de caño,1,SI,EMANUEL LAPORTILLA,Agua: rotura de caño,Obras públicas - Dir. de Contralor de Servicios,161,-36.885.963,-6.032.235,10363,
2021,lunes,Finalizado,25/01/2021 08:48,05/02/2021 10:05,enero,Recolección de residuos domiliciarios: recolección deficiente,1,SI,EMANUEL LAPORTILLA,Recolección de residuos domiliciarios: recolección deficiente,Higiene y control urbano - Dir. de Contralor de Servicio,11,-36.891.586,-60.306.702,10364,
2021,lunes,Finalizado,25/01/2021 10:14,12/02/2021 17:59,enero,Estacionamiento: vehículos abandonados,1,NO,GUSTAVO SPALTRO,Estacionamiento: vehículos abandonados,Tránsito,18,-3.688.599,-60.335.037,10365,
2021,lunes,Finalizado,25/01/2021 11:13,28/01/2022 10:46,enero,Falta de habilitación,1,SI,MARÍA CELIA ALEM,Falta de habilitación,Habilitaciones - Dir. de Habilitaciones,368,-36.911.926,-60.293.709,10366,
2021,lunes,Finalizado,25/01/2021 11:45,05/03/2021 13:13,enero,Malezas o basura acumulada: en espacio público (veredas),1,NO,AXEL PORCEL,Malezas o basura acumulada: en espacio público (veredas),Higiene y control urbano - Dir. de Control Urbano,39,-3.692.614,-60.298.103,10367,
2021,martes,Finalizado,26/01/2021 09:19,10/03/2021 10:12,enero,Barrido domiciliario: no hay barrido,1,SI,EMANUEL LAPORTILLA,Barrido domiciliario: no hay barrido,Higiene y control urbano - Dir. de Contralor de Servicio,43,-36.898.605,-60.306.473,10368,
2021,martes,Finalizado,26/01/2021 09:43,11/02/2021 12:38,enero,Agua: arrojo de aguas servidas domiciliarias a la via pública,1,SI,GUSTAVO SPALTRO,Agua: arrojo de aguas servidas domiciliarias a la via pública,Control ambiental - Dir. de Control Urbano,16,-36.889.427,-60.345.108,10369,
2021,martes,Finalizado,26/01/2021 11:59,08/04/2021 10:08,enero,Reductor de velocidad: solicitar nuevo,1,SI,JULIO FERRARO,Reductor de velocidad: solicitar nuevo,Vialidad - Dir. de Control Urbano,72,-36.926.907,-60.301.735,10370,
2021,martes,En proceso de resolución de revisión,26/01/2021 12:32,02/02/2021 12:32,enero,Transporte público,1,NO,FABIAN RUBARE,Falta de mantenimiento en refugio,Transporte Público - Dir. de Desarrollo Urbano,7,-36.896.656,-6.030.064,10371,
2021,martes,Finalizado,26/01/2021 20:23,28/01/2021 11:17,enero,Estacionamiento: vehículos estacionados en lugar no permitido,1,NO,GUSTAVO SPALTRO,Estacionamiento: vehículos estacionados en lugar no permitido,Tránsito,2,-3.691.383,-60.314.724,10372,
2021,miércoles,Finalizado,27/01/2021 08:51,17/02/2021 12:14,enero,Barrido domiciliario: deficiente,1,SI,EMANUEL LAPORTILLA,Barrido domiciliario: deficiente,Higiene y control urbano - Dir. de Contralor de Servicio,21,-3.689.624,-60.318.439,10373,
2021,miércoles,En proceso de resolución de revisión,27/01/2021 10:42,26/02/2021 10:42,enero,Vialidad,1,NO,GUSTAVO SPALTRO,Señalización vial: solicitar nueva,Vialidad - Dir. de Control Urbano,30,-36.893.509,-60.296.265,10374,
2021,miércoles,Finalizado,27/01/2021 10:55,08/03/2021 08:05,enero,Reductor de velocidad: dañado,1,SI,JULIO FERRARO,Reductor de velocidad: dañado,Vialidad - Dir. de Control Urbano,40,-36.897.549,-60.331.444,10375,
2021,miércoles,En proceso de resolución de revisión,27/01/2021 20:27,27/02/2021 09:09,enero,Vialidad,1,NO,GUSTAVO SPALTRO,Reductor de velocidad: solicitar nuevo,Vialidad - Dir. de Control Urbano,31,-3.692.057,-60.294.273,10376,
2021,jueves,En proceso de resolución de revisión,28/01/2021 09:24,28/05/2021 09:24,enero,Higiene y control urbano,1,NO,AXEL PORCEL,Malezas o basura acumulada: en espacio público (veredas de terrenos cerrados),Higiene y control urbano - Dir. de Catastro,120,-36.889.294,-60.303.215,10377,
2021,jueves,En proceso de resolución de revisión,28/01/2021 10:04,28/05/2021 10:04,enero,Higiene y control urbano,1,NO,AXEL PORCEL,Malezas o basura acumulada: en espacio privado (baldío abierto),Higiene y control urbano - Dir. de Catastro,120,-36.897.732,-60.319.668,10378,
2021,jueves,Finalizado,28/01/2021 10:18,05/02/2021 10:13,enero,Malezas o basura acumulada: en espacio público (veredas),1,NO,AXEL PORCEL,Malezas o basura acumulada: en espacio público (veredas),Higiene y control urbano - Dir. de Control Urbano,8,-36.919.441,-60.312.607,10379,
2021,jueves,Finalizado,28/01/2021 10:53,01/02/2021 07:42,enero,Recolección de residuos domiliciarios: no hay recolección,1,SI,EMANUEL LAPORTILLA,Recolección de residuos domiliciarios: no hay recolección,Higiene y control urbano - Dir. de Contralor de Servicio,4,-369.053,-60.321.659,10380,
2021,jueves,Finalizado,28/01/2021 13:08,10/03/2021 10:13,enero,Barrido domiciliario: no hay barrido,1,SI,EMANUEL LAPORTILLA,Barrido domiciliario: no hay barrido,Higiene y control urbano - Dir. de Contralor de Servicio,41,-3.690.062,-60.314.034,10381,
2021,jueves,Finalizado,28/01/2021 17:06,10/03/2021 10:14,enero,Recolección de residuos domiliciarios: no hay recolección,1,SI,EMANUEL LAPORTILLA,Recolección de residuos domiliciarios: no hay recolección,Higiene y control urbano - Dir. de Contralor de Servicio,41,-36.902.554,-60.296.673,10382,
2021,viernes,En proceso de resolución de revisión,29/01/2021 10:36,29/05/2021 10:36,enero,Higiene y control urbano,1,NO,AXEL PORCEL,Malezas o basura acumulada: en espacio privado (baldío abierto),Higiene y control urbano - Dir. de Catastro,120,-36.951.942,-60.256.065,10383,
2021,viernes,En proceso de resolución de revisión,29/01/2021 10:58,15/03/2021 10:58,enero,Obras públicas,1,NO,IVAN ROBBIANI,Calles urbanas: calzada de tierra con presencia de malezas,Obras públicas - Dir. de Mantenimiento Urbano,45,-36.915.489,-60.289.742,10384,
2021,viernes,Finalizado,29/01/2021 11:18,02/02/2022 11:50,enero,Césped: con falta de mantenimiento o riego,1,SI,JULIO FERRARO,Césped: con falta de mantenimiento o riego,"Parques, plazas y espacios públicos - Dirección de Espacios Verdes",369,-36.921.169,-60.313.774,10385,
2021,viernes,En proceso de resolución de revisión,29/01/2021 13:40,29/05/2021 13:40,enero,Higiene y control urbano,1,NO,AXEL PORCEL,Malezas o basura acumulada: en espacio privado (baldío abierto),Higiene y control urbano - Dir. de Catastro,120,-36.892.693,-60.285.725,10386,
2021,domingo,Cancelado,31/01/2021 15:17,31/01/2021 20:13,enero,Otra situación no contemplada,1,NO,MODERADORES,Otra situación no contemplada,Higiene y control urbano,0,-36.902.279,-60.323.372,10387,
2021,domingo,Cancelado,31/01/2021 22:48,01/02/2021 10:55,enero,Otra situación no contemplada,1,NO,MODERADORES,Otra situación no contemplada,Higiene y control urbano,1,-3.688.567,-60.310.078,10388,
2021,lunes,En proceso de resolución de revisión,01/02/2021 10:23,16/02/2021 10:23,febrero,Obras públicas,1,NO,FABIAN RUBARE,Iluminación: lámpara sin funcionamiento o deficiente,Obras públicas - Dir. de Desarrollo Urbano,15,-36.885.735,-60.322.586,10389,
